상품명,최초 발급일자,개인사업자/법인사업자,대위변제금액(보증이행),주택형태,
임대보증금보증(세대_사용검사후),2024-02-20,법인사업자,174200000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-13,법인사업자,83000000,아파트,
임대보증금보증(세대_사용검사후),2025-01-14,법인사업자,60000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-08,법인사업자,108330000,아파트,
임대보증금보증(세대_사용검사후),2024-02-20,법인사업자,82340000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,140000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-04,법인사업자,198000000,아파트,
임대보증금보증(세대_사용검사후),2025-01-14,법인사업자,195000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-03-29,법인사업자,42100000,아파트,
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,180000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-03-06,법인사업자,81100000,아파트,
임대보증금보증(세대_사용검사후),2023-10-13,법인사업자,187900000,아파트,
임대보증금보증(세대_사용검사후),2024-02-27,법인사업자,227230000,아파트,
임대보증금보증(세대_사용검사후),2024-08-22,법인사업자,82340000,다세대주택,
임대보증금보증(세대_사용검사후),2024-02-16,법인사업자,284800000,아파트,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,218610000,아파트,
임대보증금보증(세대_사용검사후),2024-03-08,법인사업자,191000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-04,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,194000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,120000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-26,법인사업자,168000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-08,법인사업자,105000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-08,법인사업자,30000000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,51300000,아파트,
임대보증금보증(세대_사용검사후),2025-04-03,법인사업자,86700000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2025-03-24,법인사업자,174300000,아파트,
임대보증금보증(세대_사용검사후),2024-07-31,법인사업자,81100000,아파트,
임대보증금보증(세대_사용검사후),2024-01-24,법인사업자,108330000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,40000000,아파트,
임대보증금보증(세대_사용검사후),2024-11-04,법인사업자,60000000,아파트,
임대보증금보증(세대_사용검사후),2023-06-05,법인사업자,198000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,100000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-17,법인사업자,180000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2024-02-06,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-02,법인사업자,198000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-04,법인사업자,1502000,아파트,
임대보증금보증(세대_사용검사후),2024-04-22,법인사업자,92000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-17,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2023-10-11,법인사업자,198000000,아파트,
임대보증금보증(세대_사용검사후),2025-02-05,법인사업자,65000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,160000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-23,법인사업자,97339620,아파트,
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,186600000,아파트,
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,82340000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,19110970,아파트,
임대보증금보증(세대_사용검사후),2024-01-25,법인사업자,75000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-01,법인사업자,40600000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2024-10-30,법인사업자,23694241,연립주택,
임대보증금보증(세대_사용검사후),2025-02-10,법인사업자,131000000,아파트,
임대보증금보증(세대_사용검사후),2025-08-19,법인사업자,56836500,아파트,
임대보증금보증(세대_사용검사후),2025-03-26,법인사업자,219000000,아파트,
임대보증금보증(세대_사용검사후),2023-09-01,법인사업자,130000000,다세대주택,
임대보증금보증(세대_사용검사후),2023-06-05,법인사업자,159000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,188900000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-02,법인사업자,92000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,166000000,아파트,
임대보증금보증(세대_사용검사후),2025-05-07,법인사업자,185000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,159960000,아파트,
임대보증금보증(세대_사용검사후),2026-03-20,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2023-03-08,법인사업자,224000000,아파트,
임대보증금보증(세대_사용검사후),2023-06-22,법인사업자,173250000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-06,법인사업자,31364845,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,198000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-01-08,법인사업자,180000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2024-06-19,법인사업자,160800000,아파트,
임대보증금보증(세대_사용검사후),2024-01-23,법인사업자,90000000,아파트,
임대보증금보증(세대_사용검사후),2024-03-28,법인사업자,42800000,아파트,
임대보증금보증(세대_사용검사후),2023-05-16,법인사업자,179000000,아파트,
임대보증금보증(세대_사용검사후),2025-12-19,법인사업자,182300000,다세대주택,
임대보증금보증(세대_사용검사후),2025-05-07,법인사업자,166700000,아파트,
임대보증금보증(세대_사용검사후),2024-10-30,법인사업자,81100000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,168900000,아파트,
임대보증금보증(세대_사용검사후),2024-05-24,법인사업자,177400000,아파트,
임대보증금보증(세대_사용검사후),2025-01-08,법인사업자,17922329,다세대주택,
임대보증금보증(세대_사용검사후),2024-06-19,법인사업자,117691000,아파트,
임대보증금보증(세대_사용검사후),2023-09-13,법인사업자,140000000,아파트,
임대보증금보증(세대_사용검사후),2023-09-26,법인사업자,130000000,아파트,
임대보증금보증(세대_사용검사후),2023-12-20,법인사업자,188100000,아파트,
임대보증금보증(세대_사용검사후),2023-11-06,법인사업자,173300000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,179400000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-14,법인사업자,52443000,아파트,
임대보증금보증(세대_사용검사후),2024-01-09,법인사업자,256000000,아파트,
임대보증금보증(세대_사용검사후),2024-07-31,법인사업자,654173,다세대주택,
임대보증금보증(세대_사용검사후),2024-12-30,법인사업자,229000000,아파트,
임대보증금보증(세대_사용검사후),2025-07-16,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,225000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-07,법인사업자,188400000,아파트,
임대보증금보증(세대_사용검사후),2024-01-22,법인사업자,198000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,187000000,다세대주택,
임대보증금보증(세대_사용검사후),2023-02-02,법인사업자,140000000,아파트,
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,243000000,아파트,
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,198000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-03-13,법인사업자,160000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-12-22,법인사업자,160000000,아파트,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,164400000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-02,법인사업자,140000000,아파트,
임대보증금보증(세대_사용검사후),2025-02-05,법인사업자,168900000,아파트,
임대보증금보증(세대_사용검사후),2025-03-26,법인사업자,196100000,아파트,
임대보증금보증(세대_사용검사후),2024-05-31,법인사업자,168900000,아파트,
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,82340000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-01,법인사업자,247500000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,198000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,192000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,85000000,아파트,
임대보증금보증(세대_사용검사후),2023-12-26,법인사업자,29335390,아파트,
임대보증금보증(세대_사용검사후),2025-02-20,법인사업자,191000000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,57134500,아파트,
임대보증금보증(세대_사용검사후),2024-02-27,법인사업자,188000000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,161000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-07-31,법인사업자,42800000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-02-07,법인사업자,183000000,아파트,
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,188000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-13,법인사업자,162750000,연립주택,
임대보증금보증(세대_사용검사후),2024-06-19,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2024-03-27,법인사업자,198000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-27,법인사업자,189000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,183000000,아파트,
임대보증금보증(세대_사용검사후),2024-07-19,법인사업자,80000000,아파트,
임대보증금보증(세대_사용검사후),2023-07-14,법인사업자,210000000,아파트,
임대보증금보증(세대_사용검사후),2024-03-14,법인사업자,123390000,아파트,
임대보증금보증(세대_사용검사후),2023-06-22,법인사업자,81988000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-09-10,법인사업자,225000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-17,법인사업자,191000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,28006010,아파트,
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,130000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-02-02,법인사업자,141750000,아파트,
임대보증금보증(세대_사용검사후),2024-03-19,법인사업자,136500000,아파트,
임대보증금보증(세대_사용검사후),2025-03-26,법인사업자,120000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,243898422,아파트,
임대보증금보증(세대_사용검사후),2026-01-02,법인사업자,132600000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-09-01,법인사업자,17633113,아파트,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,81100000,아파트,
임대보증금보증(세대_사용검사후),2023-12-26,법인사업자,186300000,아파트,
임대보증금보증(세대_사용검사후),2024-04-08,법인사업자,62400000,아파트,
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,110000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-04,법인사업자,168900000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-26,법인사업자,49300000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-02-10,법인사업자,123390000,아파트,
임대보증금보증(세대_사용검사후),2025-03-25,법인사업자,80000000,아파트,
임대보증금보증(세대_사용검사후),2024-06-19,법인사업자,198000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-08,법인사업자,182300000,다세대주택,
임대보증금보증(세대_사용검사후),2025-06-16,법인사업자,130000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,179000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-07-01,법인사업자,179000000,아파트,
임대보증금보증(세대_사용검사후),2023-11-29,법인사업자,133753000,아파트,
임대보증금보증(세대_사용검사후),2024-01-24,법인사업자,169000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-09,법인사업자,175300000,아파트,
임대보증금보증(세대_사용검사후),2024-03-12,법인사업자,188000000,아파트,
임대보증금보증(세대_사용검사후),2024-03-29,법인사업자,85000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,174070000,아파트,
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,219000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-29,법인사업자,49200000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-27,법인사업자,177400000,아파트,
임대보증금보증(세대_사용검사후),2024-03-04,법인사업자,90000000,다세대주택,
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,219000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,174000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-02-14,법인사업자,220000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-02-02,법인사업자,222000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,187230000,아파트,
임대보증금보증(세대_사용검사후),2025-07-17,법인사업자,175000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-02-07,법인사업자,175000000,다세대주택,
임대보증금보증(세대_사용검사후),2025-02-24,법인사업자,141950000,아파트,
임대보증금보증(세대_사용검사후),2024-04-02,법인사업자,130000000,아파트,
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,131400000,아파트,
임대보증금보증(세대_사용검사후),2024-09-20,법인사업자,168900000,아파트,
임대보증금보증(세대_사용검사후),2023-12-01,법인사업자,160680000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-09-26,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2025-05-09,법인사업자,180000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,70000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-11-21,법인사업자,184000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-27,법인사업자,181000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-07-25,법인사업자,81100000,아파트,
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,62400000,아파트,
임대보증금보증(세대_사용검사후),2024-02-13,법인사업자,56836500,아파트,
임대보증금보증(세대_사용검사후),2025-11-13,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2025-08-04,법인사업자,140000000,아파트,
